kick_event,timestamp,timestamp_original,id_jogador_chutou,cor_jogador_chutou,id_goleiro,cor_goleiro,gol,ball_position_x,ball_position_y,ball_velocity_norm,ball_acceleration_norm,kicker_position_x,kicker_position_y,kicker_position_w,kicker_velocity_norm,goalkeeper_position_x,goalkeeper_position_y,goalkeeper_velocity_norm,num_blue_on_field,num_yellow_on_field,feat_dist_goal,feat_angle_goal,feat_visible_angle,feat_min_dist_opponent,feat_opponents_in_cone,feat_robot_orientation,feat_orientation_to_goal_diff
kickEvent248,663.838061824,663.838061824,1,blue,0,yellow,0,405.6257,633.391025,1433.45256352062,53671.2524800041,284.673265,645.42645,0.18157819,1844.68696093659,5596.726,72.275505,414.52860120687,10,9,5630.11616212766,-6.4594800595442,18.0565015252156,1027.97232649118,3,10.4036639386246,-16.8631439981688
kickEvent249,734.317810944,734.317810944,1,blue,0,yellow,0,403.60117,-1076.016,593.476098631931,37948.8198637508,323.0311875,-1029.80565,-0.303830305,670.615788890736,5586.0522,-133.41385,65.633576713662,11,9,5698.90255195519,10.8834088760335,17.6460138563405,828.079528028648,3,-17.4081941646726,28.291603040706
kickEvent250,987.620711936,987.620711936,3,blue,0,yellow,1,4157.1025,-1862.6182,437.586066788458,29409.1691203768,4236.2827,-1894.3539,2.4817288,183.06679784917,5602.515,155.29416,79.0699096623946,10,10,2620.23238558672,45.3049244161936,28.7135501121942,162.529431100493,1,142.192586136066,-96.8876617198727
kickEvent251,1473.350224384,1473.350224384,5,blue,0,yellow,0,-2551.0896,1905.3959,804.620948594276,69726.3594544278,-2633.68,1879.334,0.26051325,675.949176311735,-5624.9585,318.23373,113.367259219574,9,10,3940.24320099216,-151.08096730425,22.8734344932874,543.745088089861,5,14.9263097322365,-166.007277036486
kickEvent252,1480.935856384,1480.935856384,5,blue,0,yellow,1,-3276.2937,1523.4395,1401.73782666802,28252.3615547246,-3289.7107,1644.9368,-2.3412578,1488.09290188062,-5601.5415,202.59258,620.423667074315,9,10,3120.80821564221,-150.780584223937,28.7687909123001,376.178386151371,5,-134.144190692084,-16.6363935318525
kickEvent253,1864.697726208,1864.697726208,3,blue,0,yellow,0,-2565.0942,-3117.0864,1556.97626733674,97684.9470353505,-2402.6948,-2952.8796,-2.4476988,2309.241187166,-5634.186,-359.68292,294.868241644659,10,10,4638.40548895184,137.777086360495,16.6265790986349,738.604025123571,4,-140.242810759236,-81.9801028802686
kickEvent254,2413.377273856,2413.377273856,8,blue,3,yellow,0,-4654.3794,-1929.5801,1042.21264954829,29468.4121577121,-4545.951,-1961.5878,2.7129316,1111.99140174575,-4687.5464,-1598.8488,783.611950123526,8,9,2352.44004417974,124.890549124259,27.1455159333694,332.390196438899,0,155.439530787674,-30.5489816634145
kickEvent255,2465.235423744,2465.235423744,1,blue,3,yellow,1,-3248.983,-185.26418,2481.93648279796,115888.724689716,-3171.3638,-99.89101,-2.216962,538.697049610432,-5608.29,-217.10007,299.672042231969,8,9,2757.2481481869,176.147296688802,323.907078837989,1905.5820738423,5,-127.022565940882,-56.8301373703157
kickEvent256,2520.770461696,2520.770461696,1,yellow,10,blue,0,1.10914125,-0.197556925,155.107473943956,63850.0250101531,-165.655835,-12.0433605,0.01792583825,3853.64730303072,5821.921,-12.24676,48.9308675135245,8,9,5998.890862003,0.00188687847112277,17.0646393000364,698.874785769955,6,1.02707487595918,-1.02518799748805
kickEvent257,2528.893216,2528.893216,3,blue,3,yellow,1,-562.6498,-407.78305,1183.22276610298,306015.755988872,-487.525265,-338.9734,-2.47133445,1457.79465226255,-5611.572,7.2314067,190.114741880201,8,9,5452.61994029543,175.711037537171,341.303572420693,302.269932291766,9,-141.597033750285,-42.6919287125442
